,id,latitude,longitude,is_location_exact,Property_ID,bedrooms,price,review_scores_rating,number_of_reviews,std_review,Neighbourhood_ID,cleaning_fee,security_deposit,minimum_nights,instant_bookable,is_business_travel_ready,Cancellation_ID,availability_365,Wifi,TV,kitchen,Distance_from_center,Distance_from_airport
45,52734,52.51120881,13.45727807,1,2002,1,88,100,5,2.975614712,1033,45,0,5,0,0,3001,0,1,0,1,3.7,13
46,54952,52.52359308,13.38740637,1,2002,1,55,93,156,2.430068036,1003,10,90,4,0,0,3001,33,1,0,1,1.3,8.4
47,55298,52.4983793,13.34181569,0,2002,1,88,94,0,2.85,1109,10,0,2,0,0,3003,365,0,0,0,4.9,8.9
48,55455,52.52114536,13.40608327,1,2002,1,90,100,1,2.995024917,1003,25,0,2,0,0,3001,67,1,1,1,0.1,9.5
49,55853,52.50340301,13.29202553,1,2002,1,55,95,11,2.822917068,1079,100,500,60,0,0,3001,285,1,1,1,7.9,7.8
50,57049,52.54786784,13.40416737,1,2002,2,200,98,81,2.672429033,1097,60,1500,3,0,0,3001,68,1,1,1,3.1,8
51,57209,52.53683096,13.39896651,1,2002,2,80,92,160,2.400948259,1019,75,250,3,1,0,3001,264,1,1,1,1.9,8.2
52,57792,52.42530983,13.32806161,1,2005,1,49,100,3,2.985222767,1090,50,1200,2,1,0,3003,0,1,0,1,11.7,16.6
53,58041,52.5277091,13.39090247,1,2003,2,55,97,72,2.668376128,1003,70,2400,90,0,0,3001,352,1,1,1,1.3,8.3
54,58780,52.53420467,13.42671167,1,2002,2,130,95,32,2.738074519,1099,39,300,5,0,0,3001,211,1,1,1,2.2,10
55,59249,52.54088868,13.40944881,1,2002,1,90,97,76,2.658833214,1100,50,300,5,1,0,3001,149,1,1,1,2.3,8.6
56,60161,52.37827969,13.65275115,1,2005,2,120,100,7,2.96619691,1115,50,200,2,1,0,3001,86,1,1,1,23,32.6
57,63052,52.46892121,13.43454101,0,2002,1,37,92,96,2.491446443,1082,25,400,6,0,0,3001,347,1,0,0,6,15
58,63468,52.50359828,13.43205992,0,2002,1,52,83,89,2.280327876,1077,30,0,2,1,0,3001,323,1,1,1,2.6,12.1
